year,n,win_rate,mean_ret,median_ret,mean_mae,mean_mfe
2015,5.0,0.2,-0.006238682179141919,-0.00978474446061639,-0.030959952653011234,0.02275981323097196
2016,23.0,0.5652173913043478,0.006644299097993254,0.012120213661963364,-0.056580345552838814,0.0664766272615296
2017,13.0,0.46153846153846156,0.007545782338337479,-0.007315704730308514,-0.031130857891811334,0.05529861238516229
2018,28.0,0.35714285714285715,-0.01820599584595543,-0.01885978369631719,-0.06923279459376447,0.04333009489675985
2019,28.0,0.4642857142857143,0.00493896218775236,-0.0014890393219334497,-0.04369775807261757,0.047024802010104096
2020,110.0,0.5363636363636364,0.015856896138764242,0.008417466686025832,-0.08063310639731723,0.08151309163864644
2021,27.0,0.5185185185185185,0.010637318997084401,0.00558593527969542,-0.05264275748364109,0.06596872487843962
2022,28.0,0.5357142857142857,0.007306514091610594,0.00794406446884266,-0.04381973489041681,0.05640662166666934
2023,28.0,0.5714285714285714,0.00274814536966684,0.008719136564075525,-0.04637829157798217,0.051976749979175
2024,61.0,0.5573770491803278,0.020698554841852082,0.0021844809065896253,-0.04429687827619691,0.05795080615700705
2025,39.0,0.6410256410256411,0.015669845825258173,0.01063387553112971,-0.043411150699392886,0.05770818123921549
