hold_days,ret3d_max,n,win_rate,mean_ret,median_ret,p25,p75,mean_mae,mean_mfe
2,-0.05,10198.0,0.5206903314375367,0.0020235944591691195,0.0016279448762145377,-0.020037458411392706,0.02336757340046408,-0.02990482893867916,0.03148476022616161
2,-0.06,6998.0,0.5201486138896828,0.0021355711684514366,0.0016683537529820214,-0.022093805911790665,0.02589067850082255,-0.03267330091700304,0.03437084569939876
2,-0.07,4808.0,0.5112312811980033,0.00162668182336124,0.0009987171609207035,-0.023991783862823246,0.027701684909584245,-0.036028759117426125,0.037296353256282964
3,-0.05,10198.0,0.5282408315355952,0.003490329995348562,0.0025706160795612165,-0.022612573081932708,0.029208198185699308,-0.03687728010707191,0.039272698496489636
3,-0.06,6998.0,0.523006573306659,0.0034393186200133447,0.0023441471690152094,-0.024758843064808272,0.03131327551820873,-0.04045070408223581,0.042840322977481034
3,-0.07,4808.0,0.5199667221297837,0.003328452103045018,0.002068438506287351,-0.02754405436276766,0.03305588712535762,-0.0446043122099004,0.04646724462365899
5,-0.05,10198.0,0.5528535006864091,0.006393512491034669,0.0063137950225355954,-0.02806319375449204,0.04111844937383158,-0.04683625224611212,0.051428764345515125
5,-0.06,6998.0,0.5513003715347242,0.006577629981690037,0.006758401997265406,-0.030313430909067518,0.04372958271760269,-0.05086043160362376,0.05561924006220253
5,-0.07,4808.0,0.5422212978369384,0.006288133913057311,0.005849449133928597,-0.033652871638910425,0.04646003362315315,-0.0557277971641547,0.06000534584016331
7,-0.05,10198.0,0.562365169641106,0.007362683816637434,0.009001956798303956,-0.03254518523973224,0.04877448762155495,-0.05531594524876066,0.06096289561562431
7,-0.06,6998.0,0.5627322092026293,0.0074510970611940345,0.010001494879025796,-0.034791633871908756,0.05292239392673209,-0.05987808104908591,0.06554405577994996
7,-0.07,4808.0,0.5596921797004991,0.0070234606648554845,0.010027404081132674,-0.037361962670200005,0.05610144227232322,-0.06554963508121528,0.0701918346361295
10,-0.05,10198.0,0.5682486762110218,0.010018523442537588,0.012397738944835535,-0.03500361180861658,0.06072475639250502,-0.06528873717697359,0.07293278812274957
10,-0.06,6998.0,0.5684481280365818,0.009962514791390324,0.012950249269108816,-0.03737285125430387,0.06477190033588331,-0.07058907084330976,0.0781682570448098
10,-0.07,4808.0,0.5705074875207987,0.010357167001543904,0.014018396904253771,-0.03917172375692299,0.06808659497148234,-0.07653073079412336,0.08367048784659832
