year,n,win_rate,mean_ret,median_ret,p25,p75,mean_mae,mean_mfe,ret3d_max
2015,63.0,0.6984126984126984,0.022183782062402454,0.021742378580882127,-0.007353847160700089,0.05106985820147181,-0.037733825416104365,0.061438448793677006,-0.05
2016,638.0,0.5783699059561128,0.012013871152919173,0.017041735957847526,-0.03616699881418481,0.06589802149443735,-0.05732581221736064,0.06117925660399903,-0.05
2017,203.0,0.5714285714285714,0.014752495561159661,0.007349418569049693,-0.017817836585780567,0.041236943409395765,-0.039412851540958145,0.05556498279142112,-0.05
2018,1151.0,0.5647263249348393,0.010618830817342738,0.01071329601975246,-0.03488872112404928,0.057736969533423,-0.05668429933023019,0.062382526322227655,-0.05
2019,483.0,0.5942028985507246,0.012900540380147148,0.012707254757059694,-0.020921526665817702,0.051912010165620526,-0.04163127982940946,0.05434483565664994,-0.05
2020,2149.0,0.5500232666356445,0.004819668868542785,0.01256564100888058,-0.05831904097749241,0.08542993152853584,-0.10617457794183272,0.10763251719387369,-0.05
2021,699.0,0.6595135908440629,0.018841375723203563,0.019338427100427547,-0.017783611576054514,0.05220896217890725,-0.03942799562619642,0.057103504218704505,-0.05
2022,2199.0,0.5079581628012733,0.0020855927159860108,0.0008210681932006025,-0.04803974505502334,0.052681893754527254,-0.06410339362210116,0.06514828605330149,-0.05
2023,717.0,0.5564853556485355,0.013274025863621057,0.00978204010145789,-0.025607126331047114,0.05138884967246682,-0.04196568362233784,0.0560205678103246,-0.05
2024,726.0,0.5909090909090909,0.019197038857054427,0.013742261728893368,-0.02555318125311412,0.05986484665790354,-0.045850372547972654,0.0614937928061162,-0.05
2025,1142.0,0.6444833625218914,0.02353709817499451,0.02555924154596767,-0.02364883860249592,0.06634990324892487,-0.05137475000561063,0.07336173382344217,-0.05
2015,35.0,0.6285714285714286,0.014812416623764577,0.017691703253982283,-0.03456421689465816,0.05233923895184833,-0.03951649206719302,0.0612610994523021,-0.06
2016,425.0,0.5929411764705882,0.015237880569499023,0.018331920812663327,-0.036143958773998675,0.07470935229416353,-0.05844260337438967,0.0651627857093023,-0.06
2017,144.0,0.5694444444444444,0.016171702091075175,0.008102494666820004,-0.01571626841393653,0.045059530564168115,-0.040010111579324374,0.058130050263926224,-0.06
2018,749.0,0.5554072096128171,0.011707492280834198,0.010040195535721663,-0.036796017549792115,0.06092159903851635,-0.05826875986870227,0.06628854477973646,-0.06
2019,281.0,0.6298932384341637,0.01608666767227335,0.015525213509283597,-0.015596739774348944,0.05656590595061095,-0.039293138059868796,0.05619631382953788,-0.06
2020,1687.0,0.5483106105512745,0.005593309736324107,0.01261292187172458,-0.06247800932715841,0.09160689556033452,-0.11359464100332617,0.11537370998716892,-0.06
2021,412.0,0.6456310679611651,0.017511458551505,0.01728197471104642,-0.019054209559656837,0.04951510079253313,-0.04071303571016901,0.05700989117305556,-0.06
2022,1523.0,0.5213394615889692,0.0035324501883041855,0.003702755381239875,-0.04678045018804433,0.054913808907223305,-0.0656160287056052,0.06785192872434567,-0.06
2023,440.0,0.5227272727272727,0.007425138095317196,0.004087809300352241,-0.03255550707829222,0.0477842061189408,-0.046654787696309374,0.05492026478753239,-0.06
2024,477.0,0.5953878406708596,0.020244432640683426,0.014932251811871966,-0.02949819991837699,0.06852141607918605,-0.04849656112184093,0.06409993595464716,-0.06
2025,803.0,0.6562889165628891,0.025417899832143376,0.029153787868008818,-0.023234841762567682,0.06896268351728785,-0.05336547951210093,0.0780071410871068,-0.06
2015,17.0,0.8235294117647058,0.03840940200846275,0.02888171078909929,0.007191275501857719,0.06461256089180067,-0.0369106641403934,0.08120228191779585,-0.07
2016,278.0,0.5935251798561151,0.01967021754004519,0.018184913931975855,-0.03203005876964418,0.07693584769298739,-0.058761451261693895,0.07017017962040575,-0.07
2017,96.0,0.59375,0.020824425814674613,0.017228412200279375,-0.01771499800795276,0.04855552707120575,-0.03999834620992673,0.06350402845589338,-0.07
2018,484.0,0.5516528925619835,0.011125456091542413,0.011279400407091744,-0.03875680635543288,0.06417662351870246,-0.061099338324474554,0.06922969829900696,-0.07
2019,182.0,0.5934065934065934,0.013716165171301371,0.014279355758714973,-0.018707475354852066,0.05695930522086645,-0.044843382271012026,0.05825476879412794,-0.07
2020,1311.0,0.5491990846681922,0.004551363357695802,0.01296557633560358,-0.07067984694727614,0.09695789482732009,-0.12348539854142125,0.12131828060734089,-0.07
2021,247.0,0.6356275303643725,0.015457287305889631,0.015862964089526033,-0.019860334733638907,0.0463174627508427,-0.043721953287924865,0.057845555334568484,-0.07
2022,1018.0,0.5451866404715128,0.006593632094707525,0.009976036123184984,-0.04324009134056139,0.06027174643447564,-0.06642089408412383,0.0712077320477744,-0.07
2023,272.0,0.4889705882352941,0.004486888226685462,-0.0028869576612237657,-0.04168716274663728,0.04732828830173341,-0.05065921358879974,0.05433987329353177,-0.07
2024,330.0,0.5909090909090909,0.023251233341935525,0.015933675057495322,-0.03008647617042315,0.07693063798695832,-0.048897232284375286,0.06634733100354409,-0.07
2025,559.0,0.6636851520572451,0.02868210396225589,0.029280651431003557,-0.022341700190925518,0.07357165308400204,-0.05329707441199342,0.08358024757306808,-0.07
