strategy,hold_days,max_positions,total_return,cagr,max_drawdown,avg_positions,trades
TP_v1,5,5,3.347091079913449,0.15557505390848347,-0.31726190954132805,2.867629832096837,1836
TP_v1,5,10,1.5282097657649003,0.09556066762707038,-0.30309160241060074,4.121827411167513,2639
TP_v1,5,16,1.1331729598590328,0.07739723571368007,-0.1818309772670349,4.852791878172589,3107
TP_v1,5,20,0.952289302169292,0.06804431942666556,-0.15889986552467816,5.1058180398281925,3269
TP_v1,10,5,4.2633200262243385,0.1775281174460579,-0.39837590345995766,3.7567356501366653,1069
TP_v1,10,10,3.13588011330517,0.1499255077113244,-0.31102490801862015,6.244826239750098,1777
TP_v1,10,16,1.870005709644619,0.10931589160468391,-0.28261618438700153,8.019523623584536,2282
TP_v1,10,20,1.4916016881641796,0.09398942594748783,-0.26170904077526524,8.71183131589223,2479
TP_v1,20,5,4.7185745484745,0.18717955434978695,-0.3933496967475636,4.354939476766888,587
TP_v1,20,10,4.292241653552019,0.17816323161770264,-0.34920002363657476,8.108941819601718,1093
TP_v1,20,16,1.9696041624289453,0.11304595490180258,-0.35611791717640084,11.56618508395158,1559
TP_v1,20,20,1.5004547933200025,0.09437130554713713,-0.3591356366944346,13.205778992581022,1780
