hold_days,year,n,win_rate_gross,mean_ret_gross,median_ret_gross,win_rate_net,mean_ret_net,median_ret_net,mean_mae,mean_mfe
5,2015,37.0,0.6756756756756757,0.016827000275287572,0.015515785790268355,0.6486486486486487,0.012538003022748396,0.012085120489311985,-0.02177109019927296,0.046231223337901965
5,2016,264.0,0.5833333333333334,0.010891619400543456,0.008799059720522195,0.5227272727272727,0.005739564749968544,0.0008054823140852818,-0.03287785580763582,0.043824545267035026
5,2017,304.0,0.6282894736842105,0.015754441766359695,0.01233721464237758,0.6052631578947368,0.013082834378196106,0.009891244044285652,-0.026332061262860654,0.03861927544349377
5,2018,899.0,0.5595105672969967,0.002328985396968676,0.006069306281728082,0.5539488320355951,0.0015470078646944877,0.005557688727852339,-0.040206013442461885,0.0350996535623165
5,2019,375.0,0.6293333333333333,0.007492599392070256,0.006872267007582478,0.6186666666666667,0.006783280553714949,0.006108011285634651,-0.026859223966194685,0.03565424920971938
5,2020,962.0,0.577962577962578,0.011290436808545233,0.008149880505346374,0.5727650727650727,0.010746832960140838,0.0076912324733765525,-0.041643527110060766,0.049302190799078494
5,2021,1322.0,0.630105900151286,0.011472258121140621,0.012109767573515229,0.6255673222390318,0.010940993444332267,0.011636310326843535,-0.028880208064682493,0.03913539635901387
5,2022,699.0,0.413447782546495,-0.009331175431863799,-0.009090883283232043,0.40915593705293274,-0.009754369660279172,-0.009585407082546071,-0.04793028628298987,0.03139594572544172
5,2023,641.0,0.5195007800312013,0.0033986379104967266,0.0020822965868685372,0.5179407176287052,0.0029600576182743743,0.00108348558986604,-0.03160065153681811,0.03488409822249259
5,2024,932.0,0.5987124463519313,0.007127963661703047,0.009504829686642235,0.5954935622317596,0.006772552437625741,0.009225574888919508,-0.030450634146944197,0.03581703752689932
5,2025,887.0,0.5693348365276212,0.004889998220389861,0.008734925422023698,0.5670800450958287,0.00455968517041341,0.00849471498285359,-0.035644332392454084,0.03712896602138036
10,2015,37.0,0.7297297297297297,0.01757459140625023,0.018759702604698614,0.6486486486486487,0.013262501231842723,0.01174962091326437,-0.027715558199711235,0.053367942676127454
10,2016,264.0,0.6401515151515151,0.029076576549382945,0.018202195773347807,0.6287878787878788,0.023775995530883737,0.014686938703298624,-0.046233639893631856,0.06828516494380917
10,2017,304.0,0.6907894736842105,0.026782819920468832,0.018921272037045855,0.6677631578947368,0.024085740074887958,0.015720660147137133,-0.03249049430458403,0.06051785442273323
10,2018,899.0,0.5617352614015573,0.006385351381766365,0.008373324744908484,0.5595105672969967,0.005599825903370319,0.0077078122981859565,-0.05170408357877003,0.049798581168750036
10,2019,375.0,0.6186666666666667,0.009781862199222901,0.012637407704934045,0.6133333333333333,0.00906947623947555,0.01190044781334465,-0.037006009347894143,0.0491861429497521
10,2020,962.0,0.5478170478170478,0.005198938523821063,0.00997998414419865,0.5467775467775468,0.004654992661579421,0.009214500088799205,-0.06344077326184483,0.07032329951846736
10,2021,1322.0,0.6452344931921331,0.019687914594007077,0.01887014326285963,0.642965204236006,0.01915392505560889,0.01846993442503364,-0.038855321620670145,0.05567128433628476
10,2022,699.0,0.474964234620887,-0.00666931088427349,-0.004585070330968333,0.4721030042918455,-0.0070920716380852705,-0.0048891758761512305,-0.06646346484010927,0.04807513812644724
10,2023,641.0,0.5475819032761311,0.009339844892728459,0.008716971919221717,0.5460218408736349,0.0089006456240526,0.008513668121373552,-0.04560265712387437,0.0515710031026666
10,2024,932.0,0.5965665236051502,0.015414369792009842,0.014196901754078506,0.5954935622317596,0.015057194793534566,0.013747848082964143,-0.0423554354985354,0.05481569627474118
10,2025,872.0,0.5653669724770642,0.00423609906184894,0.00983224953293882,0.5630733944954128,0.003903254002878871,0.00953590045515973,-0.05358794363611688,0.055755360814020494
20,2015,37.0,0.1891891891891892,-0.03698293245448732,-0.028546271803797207,0.1891891891891892,-0.04119876122794248,-0.02992416746380111,-0.07833982586255807,0.06088442018406395
20,2016,264.0,0.6098484848484849,0.030955109385907006,0.019999734945064684,0.6098484848484849,0.025617557753725848,0.018190622542486712,-0.06273256993921086,0.1012834188319828
20,2017,304.0,0.7006578947368421,0.04555145721001597,0.03839564897592762,0.694078947368421,0.04281007391087089,0.03700924710394482,-0.04203953848061392,0.09012752770968842
20,2018,899.0,0.5739710789766407,0.004959687110614703,0.010882421457951263,0.5717463848720801,0.0041770128031237055,0.010285568264742029,-0.07003493016377237,0.06695638552732776
20,2019,375.0,0.6693333333333333,0.029443687125802587,0.02311169768958865,0.6693333333333333,0.028721940316391057,0.022850516205287663,-0.04744233839867935,0.07358518356923546
20,2020,962.0,0.6185031185031185,0.019489360863909053,0.026626340517161173,0.6174636174636174,0.01893633998699782,0.026439598798223107,-0.09505109365337797,0.10224370460641208
20,2021,1322.0,0.6248108925869894,0.03211500995576053,0.02398726257932471,0.6217851739788199,0.03157531465870918,0.023593292419264666,-0.050729921229487565,0.0839733627105469
20,2022,699.0,0.43919885550786836,-0.010763875734065951,-0.010769526945075159,0.43776824034334766,-0.011186052788567056,-0.010894071797907356,-0.08774627348151566,0.06449672655099746
20,2023,641.0,0.5975039001560063,0.021721625156982765,0.02010049842590722,0.5975039001560063,0.02128054524645371,0.019827131862285574,-0.05928613562184973,0.08004248615709586
20,2024,932.0,0.6427038626609443,0.030530654538275897,0.0273814339229298,0.6427038626609443,0.03017083760220515,0.027131607468694252,-0.05596114809795266,0.08297287304824118
20,2025,852.0,0.5269953051643192,0.004458094857940951,0.0065914503508383016,0.5269953051643192,0.004122347630567262,0.006456690372052543,-0.07731315462708443,0.07999371111915807
