year,n,win_gross,mean_gross,median_gross,win_net,mean_net,median_net,p25_net,p75_net,mean_mae,mean_mfe
2016,86.0,0.5232558139534884,0.021973947325089893,0.002337216598927938,0.5232558139534884,0.01755175408716931,0.0014810933285382966,-0.03400498159247711,0.05975831262474118,-0.055571957521229384,0.0867293109979244
2017,137.0,0.6934306569343066,0.03506208713634659,0.02785022806361126,0.6861313868613139,0.03293103893593104,0.026135557456283376,-0.009979039447291727,0.0631608650234281,-0.04036738479641249,0.0669687848727713
2018,345.0,0.6347826086956522,0.010473172698666478,0.016536291755407273,0.6347826086956522,0.009733171786207244,0.015628530907237037,-0.03062579775260632,0.05615276168696748,-0.0643919710441244,0.06324432871306755
2019,121.0,0.6033057851239669,0.019297174054740716,0.013357422696016474,0.6033057851239669,0.01859048041650955,0.012854802078392513,-0.02580707728705478,0.045398363435608546,-0.04716948917790691,0.0591858851170764
2020,318.0,0.5911949685534591,-0.00971618580698351,0.015284190432419575,0.5880503144654088,-0.010142636988065099,0.01512669201464134,-0.05759005311609136,0.06560651065528972,-0.0996512839930641,0.08044714881270805
2021,455.0,0.6021978021978022,0.026364878907675852,0.020987210459950445,0.6,0.025877449494953342,0.020202056129569046,-0.028115890129812637,0.0793569261641871,-0.04854021434336243,0.07838387185922856
2022,218.0,0.5045871559633027,-0.006619707425292108,0.0015103566427173698,0.5045871559633027,-0.007004409440746188,0.0011583855317107705,-0.048679115468408085,0.04402821407532659,-0.08064842804823862,0.05739301456856687
2023,191.0,0.6282722513089005,0.02521620724411574,0.028225036262058634,0.6282722513089005,0.02488868009743582,0.027738773807156836,-0.027682293365472677,0.07655497010399226,-0.049573717876973525,0.07656227673545593
2024,350.0,0.6228571428571429,0.02569754041279886,0.023464098745362816,0.6228571428571429,0.025346899050894146,0.023272331703602767,-0.02220323452503703,0.07121969687966051,-0.052086026277461964,0.07677087202350291
2025,269.0,0.5947955390334573,0.018784019705852254,0.016363265671924143,0.5947955390334573,0.018400210902579737,0.015926350548990387,-0.03207897787348968,0.07084663501275923,-0.06512709367175977,0.07881547161485575
