model,blend_dd,test_year,n,win_net,mean_net,median_net,p25_net,p75_net,mean_mae,mean_mfe,enough_n
TP_v2,,2019,240,0.6625,0.031565176572176785,0.02536789428159969,-0.016384615043710887,0.0684810688097599,-0.04657885152498113,0.07882559376107381,True
TP_v3,,2019,121,0.6033057851239669,0.01859048041650955,0.012854802078392513,-0.02580707728705478,0.045398363435608546,-0.04716948917790691,0.0591858851170764,True
BLEND,-0.05,2019,187,0.6310160427807486,0.023506664255634073,0.021732481253022184,-0.02310363871768656,0.05943387048342741,-0.04799289977176973,0.06962672956116363,True
BLEND,-0.1,2019,235,0.6553191489361702,0.030079220575362855,0.023965082838476093,-0.01860116520434907,0.06737717769084972,-0.0472402849856195,0.07796256886002659,True
BLEND,-0.15,2019,239,0.6610878661087866,0.031373189573425,0.02508118083388755,-0.016558907670532863,0.0681344078505296,-0.046765637923716435,0.07877390210449477,True
BLEND,-0.2,2019,240,0.6625,0.031565176572176785,0.02536789428159969,-0.016384615043710887,0.0684810688097599,-0.04657885152498113,0.07882559376107381,True
TP_v2,,2020,693,0.6002886002886003,0.010807267884434485,0.02219762388790003,-0.053495464411331684,0.08329161406343744,-0.1076503951055208,0.10240850292551995,True
TP_v3,,2020,318,0.5880503144654088,-0.010142636988065099,0.01512669201464134,-0.05759005311609136,0.06560651065528972,-0.0996512839930641,0.08044714881270805,True
BLEND,-0.05,2020,413,0.5956416464891041,0.003560441672112107,0.018349038288331787,-0.045929339825867,0.06847355510002573,-0.08692774112427397,0.08911273511415085,True
BLEND,-0.1,2020,495,0.5595959595959596,-0.012739436189133669,0.013007974421828772,-0.07105423574605563,0.06495816134267274,-0.10800095129742514,0.08566700542037499,True
BLEND,-0.15,2020,650,0.5861538461538461,-0.0001409617785422016,0.01941759482821548,-0.058506915337195764,0.0764751922117019,-0.10458153407954764,0.09289359359466595,True
BLEND,-0.2,2020,671,0.5886736214605067,0.001092071306461887,0.01970173053726909,-0.055652778860906416,0.07665890146345988,-0.10801227494202097,0.09312755527332364,True
TP_v2,,2021,926,0.6241900647948164,0.03457820795322946,0.023769495219528092,-0.022298947644979944,0.08664613197284027,-0.050725853190252385,0.08810630456915117,True
TP_v3,,2021,455,0.6,0.025877449494953342,0.020202056129569046,-0.028115890129812637,0.0793569261641871,-0.04854021434336243,0.07838387185922856,True
BLEND,-0.05,2021,813,0.6199261992619927,0.033347353737983615,0.02124041612337435,-0.023649660608238587,0.0850006852518208,-0.050017699292629315,0.08658158508225892,True
BLEND,-0.1,2021,917,0.6205016357688113,0.03406698484008239,0.022607396577836614,-0.02319853618317491,0.08617389601267478,-0.05099997689861812,0.0879528208393539,True
BLEND,-0.15,2021,926,0.6241900647948164,0.03457820795322946,0.023769495219528092,-0.022298947644979944,0.08664613197284027,-0.050725853190252385,0.08810630456915117,True
BLEND,-0.2,2021,926,0.6241900647948164,0.03457820795322946,0.023769495219528092,-0.022298947644979944,0.08664613197284027,-0.050725853190252385,0.08810630456915117,True
TP_v2,,2022,495,0.4383838383838384,-0.011104166233286587,-0.013449228221903642,-0.06038171896741257,0.04364396260582304,-0.08873031136116247,0.0664895963236083,True
TP_v3,,2022,218,0.5045871559633027,-0.007004409440746188,0.0011583855317107705,-0.048679115468408085,0.04402821407532659,-0.08064842804823862,0.05739301456856687,True
BLEND,-0.05,2022,230,0.4782608695652174,-0.01168438438850252,-0.006728979693337689,-0.054687757806075155,0.03945431788712622,-0.08735504677225805,0.055363818405950005,True
BLEND,-0.1,2022,271,0.4317343173431734,-0.015425268610247511,-0.02058236959269466,-0.058280430538408756,0.037073654659941724,-0.09194916280322127,0.05409220860637864,True
BLEND,-0.15,2022,354,0.3954802259887006,-0.023324607462992433,-0.023774302990768492,-0.06686117944118217,0.03146647878672987,-0.09466180985486602,0.05868390366373305,True
BLEND,-0.2,2022,400,0.4175,-0.018140088002375456,-0.020256371343444268,-0.06538638158677695,0.037303055398826446,-0.09289407163151502,0.06293720333456815,True
TP_v2,,2023,433,0.5773672055427251,0.021179101175140914,0.012713291915800617,-0.0326944073384694,0.07472940868866806,-0.058761712359157385,0.08033381754264499,True
TP_v3,,2023,191,0.6282722513089005,0.02488868009743582,0.027738773807156836,-0.027682293365472677,0.07655497010399226,-0.049573717876973525,0.07656227673545593,True
BLEND,-0.05,2023,255,0.5843137254901961,0.015935673941183885,0.012460766046254124,-0.03281806719259356,0.06808229358779871,-0.05650263474437225,0.07251655838069912,True
BLEND,-0.1,2023,346,0.6069364161849711,0.025278135830741167,0.02069485908497093,-0.026903541497014627,0.07468891120651533,-0.05515689627489922,0.08268545534126613,True
BLEND,-0.15,2023,361,0.6121883656509696,0.028870722140772662,0.021943038444012464,-0.02625159262083787,0.07667463160425525,-0.053870108565455606,0.08536686447404292,True
BLEND,-0.2,2023,380,0.5973684210526315,0.025330625634279343,0.020470320803303577,-0.027925978672809437,0.0761392087205911,-0.0552021222715548,0.08316393005111505,True
TP_v2,,2024,658,0.6428571428571429,0.03111805422860326,0.028588453054894547,-0.020060281809060637,0.08116156067074415,-0.05668729656772798,0.08460919125490637,True
TP_v3,,2024,350,0.6228571428571429,0.025346899050894146,0.023272331703602767,-0.02220323452503703,0.07121969687966051,-0.052086026277461964,0.07677087202350291,True
BLEND,-0.05,2024,546,0.6025641025641025,0.021380497620167863,0.019388538384852216,-0.0288088071235591,0.07022604784882991,-0.05724461076900135,0.0765105455285044,True
BLEND,-0.1,2024,612,0.6241830065359477,0.025906618940821358,0.024812867540644268,-0.025567597483201643,0.0741696809206771,-0.05953624915075297,0.07959518887015753,True
BLEND,-0.15,2024,658,0.6428571428571429,0.03111805422860326,0.028588453054894547,-0.020060281809060637,0.08116156067074415,-0.05668729656772798,0.08460919125490637,True
BLEND,-0.2,2024,658,0.6428571428571429,0.03111805422860326,0.028588453054894547,-0.020060281809060637,0.08116156067074415,-0.05668729656772798,0.08460919125490637,True
TP_v2,,2025,588,0.5017006802721088,8.817965509670725e-05,0.0004849193362922444,-0.07110245666685835,0.062465996943228075,-0.08257327871709316,0.08153057294294278,True
TP_v3,,2025,269,0.5947955390334573,0.018400210902579737,0.015926350548990387,-0.03207897787348968,0.07084663501275923,-0.06512709367175977,0.07881547161485575,True
BLEND,-0.05,2025,440,0.5159090909090909,0.0014489231198203595,0.0035047182867617988,-0.06255371720666483,0.061558137300079474,-0.0798450748234003,0.07794246360196529,True
BLEND,-0.1,2025,525,0.49523809523809526,-0.002342832760190489,-0.000522556328699797,-0.07089887992235988,0.05849041984091752,-0.0810859181100167,0.07913976752206241,True
BLEND,-0.15,2025,560,0.48392857142857143,-0.004552031068342396,-0.004786542307135266,-0.07277609861896023,0.05648456610234298,-0.08411240016426702,0.07931680889296976,True
BLEND,-0.2,2025,573,0.493891797556719,-0.0019304548069116012,-0.0006094439302880561,-0.07184064808188106,0.060573135447903104,-0.08351262880647319,0.08047276922921898,True
