model,train_years,test_year,n,win_net,mean_net,median_net,p25_net,p75_net,mean_mae,mean_mfe,enough_n
TP_v2,2015-2018,2019,240,0.6625,0.031565176572176785,0.02536789428159969,-0.016384615043710887,0.0684810688097599,-0.04657885152498113,0.07882559376107381,True
TP_v3,2015-2018,2019,121,0.6033057851239669,0.01859048041650955,0.012854802078392513,-0.02580707728705478,0.045398363435608546,-0.04716948917790691,0.0591858851170764,True
TP_v2,2016-2019,2020,693,0.6002886002886003,0.010807267884434485,0.02219762388790003,-0.053495464411331684,0.08329161406343744,-0.1076503951055208,0.10240850292551995,True
TP_v3,2016-2019,2020,318,0.5880503144654088,-0.010142636988065099,0.01512669201464134,-0.05759005311609136,0.06560651065528972,-0.0996512839930641,0.08044714881270805,True
TP_v2,2017-2020,2021,926,0.6241900647948164,0.03457820795322946,0.023769495219528092,-0.022298947644979944,0.08664613197284027,-0.050725853190252385,0.08810630456915117,True
TP_v3,2017-2020,2021,455,0.6,0.025877449494953342,0.020202056129569046,-0.028115890129812637,0.0793569261641871,-0.04854021434336243,0.07838387185922856,True
TP_v2,2018-2021,2022,495,0.4383838383838384,-0.011104166233286587,-0.013449228221903642,-0.06038171896741257,0.04364396260582304,-0.08873031136116247,0.0664895963236083,True
TP_v3,2018-2021,2022,218,0.5045871559633027,-0.007004409440746188,0.0011583855317107705,-0.048679115468408085,0.04402821407532659,-0.08064842804823862,0.05739301456856687,True
TP_v2,2019-2022,2023,433,0.5773672055427251,0.021179101175140914,0.012713291915800617,-0.0326944073384694,0.07472940868866806,-0.058761712359157385,0.08033381754264499,True
TP_v3,2019-2022,2023,191,0.6282722513089005,0.02488868009743582,0.027738773807156836,-0.027682293365472677,0.07655497010399226,-0.049573717876973525,0.07656227673545593,True
TP_v2,2020-2023,2024,658,0.6428571428571429,0.03111805422860326,0.028588453054894547,-0.020060281809060637,0.08116156067074415,-0.05668729656772798,0.08460919125490637,True
TP_v3,2020-2023,2024,350,0.6228571428571429,0.025346899050894146,0.023272331703602767,-0.02220323452503703,0.07121969687966051,-0.052086026277461964,0.07677087202350291,True
TP_v2,2021-2024,2025,588,0.5017006802721088,8.817965509670725e-05,0.0004849193362922444,-0.07110245666685835,0.062465996943228075,-0.08257327871709316,0.08153057294294278,True
TP_v3,2021-2024,2025,269,0.5947955390334573,0.018400210902579737,0.015926350548990387,-0.03207897787348968,0.07084663501275923,-0.06512709367175977,0.07881547161485575,True
