hold_days,year,n,win_gross,mean_gross,median_gross,win_net,mean_net,median_net,mean_mae,mean_mfe
5,2015,19.0,0.631578947368421,0.023612214984042347,0.02186713501068982,0.5789473684210527,0.01904936072901821,0.014289153377195163,-0.02200940209089879,0.05721375549046134
5,2016,170.0,0.5882352941176471,0.015491535715165499,0.009357774355808868,0.5294117647058824,0.009356625628040032,0.002479417252865934,-0.03192946264570584,0.048657027451055115
5,2017,234.0,0.6367521367521367,0.015414841815800192,0.012707278703762759,0.6111111111111112,0.012542508998261086,0.009448343177043461,-0.02819959454512343,0.03917275245106075
5,2018,677.0,0.5745937961595273,0.004402932411890227,0.007845198319155422,0.5716395864106352,0.0036203585972474483,0.007173239442046508,-0.04077439770869026,0.037201289862263016
5,2019,240.0,0.6458333333333334,0.006976488040131342,0.006341375546760064,0.6333333333333333,0.006201564787166334,0.00586544764487551,-0.026681325557673944,0.035298175465000456
5,2020,693.0,0.5728715728715729,0.01176315935259122,0.008455561894969765,0.5685425685425686,0.01122009814573812,0.008361739519821443,-0.04522474265325828,0.05269895517355952
5,2021,926.0,0.6339092872570194,0.01262269096173746,0.014549942576551733,0.6295896328293736,0.012085040373798012,0.014165318841946717,-0.029187708372559226,0.04063340130240238
5,2022,495.0,0.4222222222222222,-0.007667911965654694,-0.008228918599499702,0.4161616161616162,-0.008112018312132154,-0.008687723893599286,-0.048541477879543764,0.033238636615473695
5,2023,433.0,0.5080831408775982,0.002804890960920724,0.0010811388910407782,0.5057736720554272,0.0023442854469606653,0.0001832956760599025,-0.03135855737875808,0.03472226920459589
5,2024,658.0,0.6048632218844985,0.007876373503717494,0.010819264843875742,0.6033434650455927,0.007526556186099559,0.010509187387748531,-0.030736812128300896,0.03672976159431783
5,2025,610.0,0.5622950819672131,0.004814560902908961,0.008248030454505284,0.559016393442623,0.004470743725477397,0.007835023435944222,-0.03705251975325215,0.037784949341783974
10,2015,19.0,0.7894736842105263,0.028738544551992897,0.022076308283526247,0.7368421052631579,0.024156092701247515,0.018233847005210135,-0.025850088110312648,0.06528094168026358
10,2016,170.0,0.6588235294117647,0.0367470145662987,0.01854420792387268,0.6411764705882353,0.030439435842807488,0.015742462213352848,-0.04493034511307229,0.07248160439563514
10,2017,234.0,0.6837606837606838,0.02619938181875512,0.01816500124169973,0.6538461538461539,0.023300445388448568,0.015173970760792965,-0.03359973092948588,0.06031281931385425
10,2018,677.0,0.5849335302806499,0.009672784681568682,0.012018716044057909,0.5819793205317577,0.00888565217076704,0.011055123241653142,-0.05162003613156906,0.05226535124247742
10,2019,240.0,0.6083333333333333,0.010668594637201687,0.010430344018527493,0.6,0.00988821525870851,0.010004820868116271,-0.03630291840280133,0.05028062282260466
10,2020,693.0,0.5339105339105339,0.0006700338292482514,0.007051557675018527,0.5324675324675324,0.0001280324861681668,0.006504676916460506,-0.06903688006051655,0.07218321008263964
10,2021,926.0,0.6663066954643628,0.021379738301959897,0.021341071699557235,0.6641468682505399,0.020839091165809356,0.02052776596521544,-0.03908564662405479,0.058023477117386174
10,2022,495.0,0.4888888888888889,-0.006583115615843714,-0.0034042683053523426,0.48484848484848486,-0.007026388371261452,-0.004083729163509631,-0.06779522018336513,0.050129932901918195
10,2023,433.0,0.535796766743649,0.009427206317147246,0.006986714416022277,0.535796766743649,0.008966272912368,0.0067271807443831655,-0.04467423290656134,0.051657906342640655
10,2024,658.0,0.5987841945288754,0.01848229271005647,0.016081099215915717,0.5972644376899696,0.01813043607848824,0.015869975849313378,-0.041974614020564315,0.056477483957588795
10,2025,600.0,0.5483333333333333,0.002789253579219992,0.0064673343515598836,0.545,0.002443004919990638,0.006029850449564278,-0.056685208786076684,0.058364604398549534
20,2015,19.0,0.2631578947368421,-0.033087368899220024,-0.029711290443468208,0.2631578947368421,-0.037636558992980816,-0.030476725535979354,-0.07951120890204753,0.07390913743373403
20,2016,170.0,0.5882352941176471,0.034231291226090456,0.0189637904325326,0.5882352941176471,0.02790775562216236,0.017320018308655816,-0.06271956920458728,0.1105643127745715
20,2017,234.0,0.7051282051282052,0.045453655927902015,0.037716323017058184,0.6965811965811965,0.042506913350231997,0.03578838818153662,-0.043210253673132394,0.09035297152469982
20,2018,677.0,0.6129985228951256,0.010683986874921244,0.017433063795403214,0.6115214180206795,0.009899822366290277,0.01666338343842222,-0.06811526432481747,0.07051721337692861
20,2019,240.0,0.6625,0.03235689825335998,0.02601421510370694,0.6625,0.031565176572176785,0.02536789428159969,-0.04657885152498113,0.07882559376107381
20,2020,693.0,0.6017316017316018,0.011357678099263732,0.022844774218435226,0.6002886002886003,0.010807267884434485,0.02219762388790003,-0.1076503951055208,0.10240850292551995
20,2021,926.0,0.6285097192224622,0.03512501136847611,0.02502743867109347,0.6241900647948164,0.03457820795322946,0.023769495219528092,-0.050725853190252385,0.08810630456915117
20,2022,495.0,0.4383838383838384,-0.0106616978719796,-0.01239922466809218,0.4383838383838384,-0.011104166233286587,-0.013449228221903642,-0.08873031136116247,0.0664895963236083
20,2023,433.0,0.5773672055427251,0.02164194912571398,0.013306490964438256,0.5773672055427251,0.021179101175140914,0.012713291915800617,-0.058761712359157385,0.08033381754264499
20,2024,658.0,0.6428571428571429,0.03147215735255362,0.028861001707527034,0.6428571428571429,0.03111805422860326,0.028588453054894547,-0.05668729656772798,0.08460919125490637
20,2025,588.0,0.5017006802721088,0.0004376362012377569,0.000873396468471177,0.5017006802721088,8.817965509670725e-05,0.0004849193362922444,-0.08257327871709316,0.08153057294294278
