year,n,win_net,mean_net,median_net,mean_mae,mean_mfe,qqq_filter_mode
2015,19.0,0.2631578947368421,-0.037636558992980816,-0.030476725535979354,-0.07951120890204753,0.07390913743373403,above
2016,71.0,0.7464788732394366,0.0698940345711762,0.028790249649114585,-0.04355620532629663,0.13398000157264436,above
2017,234.0,0.6965811965811965,0.042506913350231997,0.03578838818153662,-0.043210253673132394,0.09035297152469982,above
2018,523.0,0.6367112810707457,0.016377910677846025,0.022229003282550952,-0.06365339263242235,0.07338335808539237,above
2019,223.0,0.6457399103139013,0.026691004596671404,0.02175584495190841,-0.048221046579039625,0.07452861797138631,above
2020,646.0,0.5835913312693498,-0.0007740142805786785,0.019067899030987934,-0.10430387955348476,0.0926760710770004,above
2021,926.0,0.6241900647948164,0.03457820795322946,0.023769495219528092,-0.050725853190252385,0.08810630456915117,above
2022,100.0,0.2,-0.041704701756234384,-0.03840349492305645,-0.12620518469140227,0.042306399104053136,above
2023,407.0,0.5798525798525799,0.020713553596596622,0.012713291915800617,-0.05981597203548049,0.08093473433274709,above
2024,658.0,0.6428571428571429,0.03111805422860326,0.028588453054894547,-0.05668729656772798,0.08460919125490637,above
2025,438.0,0.5182648401826484,0.0035400841187240434,0.005827051443260456,-0.0797272660264696,0.08129339932466946,above
