year,n,win_rate,mean_ret,median_ret,p25,p75,mean_mae,mean_mfe
2015,19.0,0.2631578947368421,-0.037636558992980816,-0.030476725535979354,-0.08883212992396433,-0.008757349741952247,-0.0816539384278396,0.07142978133894436
2016,65.0,0.7230769230769231,0.06600490617212842,0.028790249649114585,-0.005980571430819093,0.10952457281110828,-0.04819958897164332,0.12851054316117527
2017,234.0,0.6965811965811965,0.042506318721716445,0.03578838818153662,-0.009142654546068996,0.07840277967114401,-0.04456649939302206,0.08875994806175078
2018,529.0,0.6483931947069943,0.017805362659451703,0.023181770147844505,-0.024014969851495094,0.07136150582637724,-0.06211555398763353,0.07299190492842099
2019,222.0,0.6441441441441441,0.025950303050488892,0.021744163102465297,-0.021927237810297373,0.062263395528722676,-0.04797833820647078,0.07319613203804888
2020,656.0,0.5823170731707317,-0.0010954592131535658,0.018906012556722418,-0.05905833420462159,0.0742329371011271,-0.1066295618049533,0.09164715372825188
2021,926.0,0.6241900647948164,0.03457793681322878,0.023769495219528092,-0.022298947644979944,0.08664613197284027,-0.05097927292699523,0.08781205831789221
2022,94.0,0.20212765957446807,-0.04325842411025673,-0.042776160002367336,-0.07802053227209554,-0.01656578484743168,-0.13016651415857838,0.04367636183888158
2023,322.0,0.6242236024844721,0.03120764426154956,0.025259374327947226,-0.025888377698511322,0.07721266426743234,-0.05397359121410758,0.08844192933490867
2024,658.0,0.6428571428571429,0.0311179656208958,0.028588453054894547,-0.020060281809060637,0.08116156067074415,-0.0568519474980642,0.08441994268295769
2025,439.0,0.5216400911161732,0.004117478068054246,0.0069707533785632325,-0.060292597424726424,0.06226419057076282,-0.08013288020744236,0.08155950107553743
